,feature,r2,mae,mse,rmse
1041,max_user_avg_first_pronouns_proportion,0.13635,0.19805,0.1491,0.3861
118,max_positive_affect,0.11035000000000002,0.37732,0.8628199999999999,0.89641
614,average_user_sum_first_person_plural,0.10637,0.35411000000000004,0.87414,0.9011100000000001
505,max_user_sum_positive_affect,0.10314999999999999,0.39361250000000003,1.0721749999999999,1.0351
615,stdev_user_sum_first_person_plural,0.10036,0.37237,0.8817400000000001,0.9048
590,average_user_sum_friends,0.09692500000000001,0.28466250000000004,1.0801875,1.0388249999999999
300,stdev_dale_chall_score,0.09458749999999999,0.400775,1.0825125,1.04005
591,stdev_user_sum_friends,0.09306249999999999,0.285125,1.0844624999999999,1.04095
493,max_user_sum_family,0.0915,0.1422,0.15685,0.396
925,max_user_avg_sadness,0.0863,0.22296666666666665,0.5136666666666666,0.6302
